rank,score,company,role,domain,mx_verified,primary_email,source,linkedin_finder
11,62.0,GeekSoft Consulting,Java Backend Developer,geeksoft.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20GeekSoft%20Consulting
12,62.0,Adobe,Computer Scientist 2 ( Full Stack ),adobe.com,✅ YES,careers@adobe.com,Pattern Matched (adobe.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Adobe
13,61.8,EPAM Systems,Lead Software Engineer - Java,epam.com,✅ YES,careers@epam.com,Pattern Matched (epam.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20EPAM%20Systems
14,61.3,Luxoft India,Senior backend Java developer,luxoft.com,✅ YES,careers@luxoft.com,Pattern Matched (luxoft.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Luxoft%20India
15,61.3,Luxoft,Senior Java developer,luxoft.com,✅ YES,careers@luxoft.com,Pattern Matched (luxoft.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Luxoft
16,61.3,Luxoft,Senior Java developer,luxoft.com,✅ YES,careers@luxoft.com,Pattern Matched (luxoft.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Luxoft
17,61.1,EPAM Systems,Lead Software Engineer - Java,epam.com,✅ YES,careers@epam.com,Pattern Matched (epam.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20EPAM%20Systems
18,60.7,Virtusa,Java MS,virtusa.com,✅ YES,careers@virtusa.com,Pattern Matched (virtusa.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Virtusa
19,60.6,Tata Consultancy Services,"Walk In|| Java ,Spring Boot Developer +AWS",tataconsultancy.com,❌ NO,Search via LinkedIn,None found,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Tata%20Consultancy%20Services
20,60.5,Recro,Java Software Engineer,recro.com,✅ YES,careers@recro.com,Pattern Matched (recro.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Recro
21,60.3,Luxoft,Senior Java Software Engineer,luxoft.com,✅ YES,careers@luxoft.com,Pattern Matched (luxoft.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Luxoft
22,59.5,Quest Global,Java Software Engineer,quest-global.com,✅ YES,careers@quest-global.com,Pattern Matched (quest-global.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Quest%20Global
23,59.5,ApplogiQ,Senior Java Developer,applogiq.com,❌ NO,aishwarya.bm@findq.in,Direct JD Text,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20ApplogiQ
24,59.4,Boutiqaat,Java Software Engineer,boutiqaat.com,✅ YES,careers@boutiqaat.com,Pattern Matched (boutiqaat.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Boutiqaat
25,59.4,UST,"Lead I - Software Engineering-java,spring boot,kafka,microservices,",ust.com,✅ YES,careers@ust.com,Pattern Matched (ust.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20UST
