rank,score,company,role,domain,mx_verified,primary_email,source,linkedin_finder
16,71.4,Bizinso,Java Developer Jobs Mumbai | 2–4 Years Exp | Spring Boot | Bizinso,bizinso.com,✅ YES,careers@bizinso.com,Pattern Matched (bizinso.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Bizinso
17,71.1,Boutiqaat,Java Software Engineer,boutiqaat.com,✅ YES,careers@boutiqaat.com,Pattern Matched (boutiqaat.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Boutiqaat
18,70.0,State Street,Lead Java Backend Developer - Senior Manager,statestreet.com,✅ YES,careers@statestreet.com,Pattern Matched (statestreet.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20State%20Street
19,69.9,ApplogiQ,Senior Java Developer,applogiq.com,❌ NO,aishwarya.bm@findq.in,Direct JD Text,https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20ApplogiQ
20,69.2,Iris Software Inc.,Java - Senior Engineer,irissoftware.com,✅ YES,careers@irissoftware.com,Pattern Matched (irissoftware.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Iris%20Software%20Inc.
21,68.6,Visa2Fly,Java Backend Developer | 3–5 Years Experience |,visa2fly.com,✅ YES,careers@visa2fly.com,Pattern Matched (visa2fly.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Visa2Fly
22,68.2,HealthKart,Senior Software Engineer,healthkart.com,✅ YES,careers@healthkart.com,Pattern Matched (healthkart.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20HealthKart
23,68.1,Ginesys,SDE 2,ginesys.com,✅ YES,careers@ginesys.com,Pattern Matched (ginesys.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Ginesys
24,67.6,Barclays,Software Engineer (Core),barclays.com,✅ YES,careers@barclays.com,Pattern Matched (barclays.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20Barclays
25,67.1,GlobalLogic,Senior Java Developer IRC301136,globallogic.com,✅ YES,careers@globallogic.com,Pattern Matched (globallogic.com),https://www.linkedin.com/search/results/people/?keywords=%22Technical%20Recruiter%22%20OR%20%22Engineering%20Manager%22%20OR%20%22Talent%20Acquisition%22%20GlobalLogic
